	價格	冰箱	冷氣	區	地址	坪數	型態	天然瓦斯	床	座標	性別要求	押金	捷運站	最短租期	朝向	格局	桌子	椅子	樓層	沙發	洗衣機	火車站	熱水器	產權登記	種類	第四台	管理費	網路	編號	總樓層數	衣櫃	身份要求	車 位	開伙	電視	養寵物	現況
23	12000.0	1	1	文山區	台北市文山區試院路154巷2弄13號	8.0	電梯大樓	0	1	0	女生	一個月	1	一年	坐東朝西	有陽臺	1	1	1	0	1	0	1	已辦 	0	1	--	1	6261236	0	0	學生、上班族、家庭	無	可以	1	不可以	獨立套房
24	15000.0	1	1	信義區	台北市信義區中坡南路201巷6-1號	9.5	電梯大樓	0	1	0	女生	二個月	1	一年	坐東南朝西北	有陽臺	1	1	6	1	1	1	1	已辦 	0	1	--	1	6224675	0	1	上班族	無	不可以	1	不可以	獨立套房
25	15000.0	1	1	大安區	台北市大安區大安路一段31巷	13.0	公寓	0	1	0	男女生皆可	二個月	1	一年	坐南朝北	0	1	1	5	0	1	0	1	未辦 	0	1	--	1	6398148	0	1	上班族	無	不可以	1	不可以	獨立套房
26	15000.0	1	1	文山區	台北市文山區興隆路三段304巷32號	10.0	電梯大樓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	1	1	1	0	0	已辦 	0	1	--	1	6398894	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
27	36000.0	1	1	大安區	台北市大安區信義路三段	14.0	電梯大樓	0	1	0	男女生皆可	二個月	1	1月	坐南朝北	0	1	1	12	1	1	0	1	已辦 	0	1	975元/月	1	6315218	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
28	56000.0	1	1	信義區	台北市信義區松勤路	19.71	電梯大樓	0	1	0	男女生皆可	二個月	1	三個月	坐北朝南	開放式格局	1	1	16	1	1	0	1	已辦 	0	0	2927元/月	0	6328407	0	1	學生、上班族、家庭	機械式停車位，費用另計	可以	1	不可以	獨立套房
29	12500.0	1	1	中正區	台北市中正區臨沂街71巷19弄1號	8.0	公寓	1	1	0	男女生皆可	二個月	1	一年	0	0	1	1	1	0	1	0	1	已辦 	0	1	無	1	4708106	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
30	8500.0	1	1	大安區	台北市大安區通化街39巷53弄21號	5.5	透天厝	0	0	0	女生	二個月	1	一年	0	0	1	0	4	0	1	0	1	已辦 	0	1	無	1	6376629	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
31	23000.0	1	1	大安區	台北市大安區泰順街40巷	13.0	公寓	1	1	0	男女生皆可	二個月	1	三個月	坐南朝北	有陽臺	1	1	5	1	1	1	1	已辦 	0	1	--	1	5495921	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
32	12500.0	1	1	信義區	台北市信義區永吉路180巷	8.0	透天厝	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	2	0	1	1	1	已辦 	0	1	無	1	6397381	0	1	上班族	無	不可以	1	不可以	獨立套房
