,價格,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,座標,性別要求,押金,捷運站,最短租期,朝向,格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,產權登記,種類,第四台,管理費,網路,編號,總樓層數,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況
0,22000.0,1,1,大同區,台北市大同區長安西路145巷,11.0,公寓,1,1,0,男女生皆可,二個月,1,三個月,坐北朝南,0,1,1,4,1,1,1,1,已辦 ,0,1,0,1,6355334,5.0,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
1,11000.0,0,1,大安區,台北市大安區臨江街100號,8.0,透天厝,0,0,0,男女生皆可,二個月,0,一年,0,有陽臺,0,0,2,0,1,0,1,未辦 ,0,1,0,1,6296344,3.0,1,0,無,不可以,0,0,不可以,獨立套房
2,14000.0,1,1,中正區,台北市中正區新生南路一段,5.0,公寓,0,1,0,女生,二個月,1,一年,坐北朝南,0,1,1,5,0,1,1,1,已辦 ,0,0,0,1,6399842,6.0,1,學生、上班族,無,可以,0,1,不可以,獨立套房
3,14500.0,1,1,中山區,台北市中山區吉林路79號,10.0,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,2,1,1,0,1,未辦 ,0,1,500,1,6405622,7.0,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
4,30000.0,1,1,信義區,台北市信義區光復南路567號,13.0,電梯大樓,1,1,0,男女生皆可,面議,1,1月,0,0,1,1,18,1,1,0,1,已辦 ,0,1,1560,1,4365927,18.0,1,學生、上班族、家庭,平面式停車位，費用另計,可以,0,1,不可以,獨立套房
5,42000.0,1,1,信義區,台北市信義區松勤路,15.71,電梯大樓,0,1,0,男女生皆可,二個月,1,三個月,0,開放式格局,1,1,5,1,1,1,1,已辦 ,0,1,0,1,6238712,19.0,1,0,機械式停車位，費用另計,可以,0,1,不可以,獨立套房
6,16000.0,1,1,信義區,台北市信義區虎林街100巷,7.0,透天厝,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,0,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6367706,4.0,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
7,10000.0,1,1,信義區,台北市信義區吳興街284巷30弄57號,10.0,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,1,0,1,1,1,已辦 ,0,1,0,1,6390715,4.0,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
8,16500.0,0,1,大同區,台北市大同區涼州街6號,15.0,電梯大樓,0,0,0,男女生皆可,面議,1,1月,0,有陽臺,1,1,9,0,1,1,1,已辦 ,0,0,1500,0,6344572,9.0,1,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
9,8800.0,1,1,萬華區,台北市萬華區德昌街185巷,12.0,公寓,1,1,0,男女生皆可,二個月,0,一年,坐北朝南,有陽臺,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6334092,4.0,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
10,12500.0,0,1,大同區,台北市大同區涼州街,10.0,電梯大樓,0,0,0,男女生皆可,面議,0,1月,0,有陽臺,1,1,9,0,0,0,1,已辦 ,0,0,1000,0,6344565,9.0,0,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
11,16000.0,1,1,內湖區,台北市內湖區內湖路一段,7.0,公寓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,5,0,1,0,1,-- ,0,1,0,1,6354677,7.0,1,0,無,可以,0,1,不可以,獨立套房
12,12000.0,1,1,信義區,台北市信義區福德街310巷5號,9.0,公寓,0,1,0,女生,面議,1,一年,0,0,1,1,頂樓加蓋,0,1,1,1,已辦 ,0,1,0,1,6402475,4.0,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
