,價格,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,座標,性別要求,押金,捷運站,最短租期,朝向,格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,產權登記,種類,第四台,管理費,網路,編號,總樓層數,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況
23,12500,1,1,松山區,台北市松山區光復北路120巷,7,公寓,0,1,0,男女生皆可,二個月,1,三個月,坐南朝北,0,1,1,2,0,1,0,1,已辦 ,0,0,0,1,6329767,4,1,上班族,無,不可以,0,1,不可以,獨立套房
24,15000,1,1,松山區,台北市松山區基隆路一段,7,電梯大樓,0,1,0,男女生皆可,二個月,1,1月,0,0,1,1,8,1,1,1,1,已辦 ,0,1,0,1,6342053,12,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
25,12000,1,1,士林區,台北市士林區華齡街40巷,7,公寓,0,1,0,女生,二個月,1,一年,坐東朝西,0,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6319487,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
26,12000,1,1,士林區,台北市士林區中正路614號,8,電梯大樓,1,1,0,男女生皆可,二個月,0,一年,0,開放式格局,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6385692,7,1,學生、上班族,平面式停車位，費用另計,不可以,0,1,不可以,獨立套房
27,10000,1,1,中正區,台北市中正區南陽街3號,5,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,8,0,1,0,1,未辦 ,0,0,180,0,6384218,9,1,學生、上班族、家庭,無,不可以,0,0,不可以,獨立套房
28,15000,1,1,中山區,台北市中山區新生北路二段41巷,7,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,有陽臺,1,1,2,1,1,0,1,已辦 ,0,1,0,1,6312702,7,1,0,無,不可以,0,1,不可以,獨立套房
29,10500,1,1,萬華區,台北市萬華區寶興街,7,公寓,0,1,0,男女生皆可,二個月,1,一年,0,0,1,1,2,1,1,1,1,-- ,0,1,0,1,6382208,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
30,12800,1,1,大安區,台北市大安區臥龍街,8,華廈,0,1,0,女生,二個月,1,一年,坐東南朝西北,有陽臺,1,1,頂樓加蓋,0,1,0,1,已辦 ,0,1,0,1,6310294,7,1,上班族,無,不可以,0,1,不可以,獨立套房
31,17000,1,1,中正區,台北市中正區羅斯福路二段8巷14弄2號,8.5,透天厝,0,1,0,男女生皆可,二個月,1,一年,0,0,1,1,2,1,1,0,1,已辦 ,0,1,0,1,6345122,2,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
32,28000,1,1,中山區,台北市中山區市民大道三段169號,16,電梯大樓,0,1,0,男女生皆可,二個月,1,一年,坐西朝東,樓中樓、有陽臺,1,0,8,1,1,0,1,已辦 ,0,1,0,0,6386443,13,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
33,10000,1,1,中正區,台北市中正區汀州路三段146號,4,公寓,0,1,0,女生,二個月,1,一年,0,0,1,1,4,0,1,0,1,已辦 ,0,0,0,1,6398660,5,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
34,15999,1,1,中山區,台北市中山區新生北路三段,10,電梯大樓,0,1,0,男女生皆可,一個月,1,7天,坐東朝西,有陽臺,1,1,7,1,1,1,1,已辦 ,0,1,750,0,6407737,12,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
35,15000,1,1,信義區,台北市信義區嘉興街49號,7,公寓,0,1,0,男女生皆可,二個月,0,一年,坐南朝北,0,1,1,2,1,1,0,1,未辦 ,0,1,0,1,6310870,8,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
36,13000,1,1,士林區,台北市士林區基河路128號,6,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,坐南朝北,開放式格局,1,1,9,1,1,0,1,未辦 ,0,0,0,0,6367565,11,1,0,無,不可以,0,1,可以,獨立套房
37,9800,1,1,大同區,台北市大同區民族西路135號,7,公寓,0,1,0,男女生皆可,二個月,1,1月,0,0,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6374070,4,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
38,21888,1,1,松山區,台北市松山區八德路二段348號,9,電梯大樓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,樓中樓,1,1,7,0,1,0,1,已辦 ,0,1,0,1,6404566,14,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
39,16000,1,1,信義區,台北市信義區林口街24巷23號,9,公寓,0,1,0,男女生皆可,二個月,0,一年,0,開放式格局,1,0,1,0,1,0,1,-- ,0,1,0,1,6327453,5,1,0,無,可以,0,1,不可以,獨立套房
40,15000,1,1,中山區,台北市中山區林森北路,7,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,5,1,1,0,0,已辦 ,0,1,0,1,6405180,12,1,學生、上班族、家庭,無,不可以,0,1,可以,獨立套房
41,12000,1,1,文山區,台北市文山區汀州路四段140巷,7,公寓,0,1,0,男女生皆可,二個月,1,一年,0,有陽臺,1,0,4,0,1,0,1,已辦 ,0,1,0,1,6389999,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
42,28000,1,1,中山區,台北市中山區民生東路一段,12,電梯大樓,1,1,0,男女生皆可,二個月,1,一年,0,樓中樓,1,1,4,1,1,0,1,已辦 ,0,1,0,1,6303520,12,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
43,9500,1,1,信義區,台北市信義區松山路465巷,5,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,1,0,1,1,1,已辦 ,0,1,0,1,6367508,4,1,上班族、家庭,無,不可以,0,1,不可以,獨立套房
44,9800,1,1,士林區,台北市士林區重慶北路四段,8,公寓,0,1,0,男女生皆可,二個月,0,1月,0,0,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6356847,5,1,0,無,可以,0,1,不可以,獨立套房
45,9200,1,1,文山區,台北市文山區景福街,6,公寓,0,1,0,女生,二個月,1,一年,0,0,1,1,4,0,1,0,1,已辦 ,0,0,0,1,6368070,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
46,19000,1,1,士林區,台北市士林區格致路203號,15,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,坐東朝西,樓中樓、有陽臺,1,1,4,1,1,0,1,已辦 ,0,0,0,0,6361579,10,1,學生,平面式停車位，費用另計,可以,0,1,不可以,獨立套房
47,22000,1,1,大同區,台北市大同區長安西路145巷,11,公寓,1,1,0,男女生皆可,二個月,1,三個月,坐北朝南,0,1,1,4,1,1,1,1,已辦 ,0,1,0,1,6355334,5,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
48,14000,1,1,中正區,台北市中正區新生南路一段,5,公寓,0,1,0,女生,二個月,1,一年,坐北朝南,0,1,1,5,0,1,1,1,已辦 ,0,0,0,1,6399842,6,1,學生、上班族,無,可以,0,1,不可以,獨立套房
49,14500,1,1,中山區,台北市中山區吉林路79號,10,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,2,1,1,0,1,未辦 ,0,1,500,1,6405622,7,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
50,30000,1,1,信義區,台北市信義區光復南路567號,13,電梯大樓,1,1,0,男女生皆可,面議,1,1月,0,0,1,1,18,1,1,0,1,已辦 ,0,1,1560,1,4365927,18,1,學生、上班族、家庭,平面式停車位，費用另計,可以,0,1,不可以,獨立套房
51,42000,1,1,信義區,台北市信義區松勤路,15.71,電梯大樓,0,1,0,男女生皆可,二個月,1,三個月,0,開放式格局,1,1,5,1,1,1,1,已辦 ,0,1,0,1,6238712,19,1,0,機械式停車位，費用另計,可以,0,1,不可以,獨立套房
52,16000,1,1,信義區,台北市信義區虎林街100巷,7,透天厝,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,0,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6367706,4,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
53,10000,1,1,信義區,台北市信義區吳興街284巷30弄57號,10,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,1,0,1,1,1,已辦 ,0,1,0,1,6390715,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
54,16500,0,1,大同區,台北市大同區涼州街6號,15,電梯大樓,0,0,0,男女生皆可,面議,1,1月,0,有陽臺,1,1,9,0,1,1,1,已辦 ,0,0,1500,0,6344572,9,1,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
55,14000,1,1,中山區,台北市中山區農安街,16,電梯大樓,0,1,0,女生,二個月,1,一年,0,有陽臺,1,1,5,0,1,0,1,已辦 ,0,1,0,1,6375168,14,1,0,無,不可以,0,1,不可以,獨立套房
56,8800,1,1,萬華區,台北市萬華區德昌街185巷,12,公寓,1,1,0,男女生皆可,二個月,0,一年,坐北朝南,有陽臺,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6334092,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
57,12500,0,1,大同區,台北市大同區涼州街,10,電梯大樓,0,0,0,男女生皆可,面議,0,1月,0,有陽臺,1,1,9,0,0,0,1,已辦 ,0,0,1000,0,6344565,9,0,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
58,16000,1,1,內湖區,台北市內湖區內湖路一段,7,公寓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,5,0,1,0,1,-- ,0,1,0,1,6354677,7,1,0,無,可以,0,1,不可以,獨立套房
59,21000,1,1,內湖區,台北市內湖區大湖街131巷,14.76,電梯大樓,0,0,0,男女生皆可,二個月,1,一年,0,樓中樓、有陽臺,1,1,8,1,1,0,1,已辦 ,0,0,1600,0,6395410,11,1,學生、上班族、家庭,機械式停車位，費用另計,可以,0,1,不可以,獨立套房
60,12000,1,1,信義區,台北市信義區福德街310巷5號,9,公寓,0,1,0,女生,面議,1,一年,0,0,1,1,頂樓加蓋,0,1,1,1,已辦 ,0,1,0,1,6402475,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
61,12999,1,1,南港區,台北市南港區橫科路4巷,12,公寓,0,1,0,男女生皆可,二個月,1,14月,坐北朝南,0,1,1,2,1,1,1,1,已辦 ,0,1,0,1,6340721,3,1,學生、上班族,無,不可以,0,1,可以,獨立套房
62,17000,1,1,松山區,台北市松山區南京東路五段291巷,8,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,有陽臺,1,1,2,0,1,0,1,已辦 ,0,1,0,1,6375255,3,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
63,18000,1,1,中正區,台北市中正區忠孝西路一段,10,電梯大樓,0,1,0,男女生皆可,面議,1,三個月,0,開放式格局,1,1,4,1,0,1,1,已辦 ,0,0,0,0,6386273,12,1,學生、上班族,無,不可以,0,1,可以,獨立套房
64,12000,1,1,文山區,台北市文山區試院路154巷2弄13號,8,電梯大樓,0,1,0,女生,一個月,1,一年,坐東朝西,有陽臺,1,1,1,0,1,0,1,已辦 ,0,1,0,1,6261236,6,0,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
65,25000,1,1,大安區,台北市大安區信義路二段,7.18,電梯大樓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,0,0,2,1,1,0,1,已辦 ,0,0,1890,0,6348007,13,1,學生、上班族、家庭,機械式停車位，費用另計,不可以,0,1,不可以,獨立套房
66,12500,1,1,中正區,台北市中正區臨沂街71巷19弄1號,8,公寓,1,1,0,男女生皆可,二個月,1,一年,0,0,1,1,1,0,1,0,1,已辦 ,0,1,0,1,4708106,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
