@relation duLiTao_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
4890,1,1,新莊區,新北市新莊區幸福路678巷,5,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6404056,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
5076,1,1,信義區,台北市信義區松仁路202巷,5,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6406781,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,9000,1800
5222,1,1,中和區,新北市中和區圓通路335巷,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6408598,1,0,無,不可以,水泥磚牆,0,不可以,獨立套房,8000,1600
5583,1,1,板橋區,新北市板橋區長江路一段48巷,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,0,0,頂樓加蓋,0,0,0,1,1,1,6414424,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,6000,1200
6385,1,1,新莊區,新北市新莊區八德街135號,5,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6426200,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
6528,1,1,三重區,新北市三重區中央北路28巷,5,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6427925,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,5500,1100
37,1,1,新店區,新北市新店區中華路,6,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,4060212,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,9000,1500
74,1,1,板橋區,新北市板橋區大觀路二段265巷130弄4號,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,4884964,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,5000,833.333333333333
142,1,1,信義區,台北市信義區富陽街55巷,6,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,0,1,1,5710558,1,上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8500,1416.66666666667
242,1,1,中山區,台北市中山區合江街130巷,6,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6270449,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,8000,1333.33333333333
324,1,1,蘆洲區,新北市蘆洲區和平路,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,0,頂樓加蓋,0,1,0,1,1,1,6303739,1,0,無,不可以,水泥磚牆,1,可以,獨立套房,6500,1083.33333333333
370,1,1,板橋區,新北市板橋區板新路,6,公寓,0,1,女生,二個月,1,180,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6306236,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,6500,1083.33333333333
435,1,1,永和區,新北市永和區智光街,6,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6308077,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,6500,1083.33333333333
1041,1,1,新莊區,新北市新莊區中正路,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6326964,1,0,無,不可以,水泥磚牆,1,不可以,獨立套房,6500,1083.33333333333
1230,1,1,蘆洲區,新北市蘆洲區民族路,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6333254,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1166.66666666667
